uniprot,cluster,fnat,fnat_correct,fnat_total,fnonnat,fnonnat_nnative,fnonnat_model,irms,lrms,dockq,capri
P28482,126,0.463,31.0,67.0,0.563,40.0,71.0,9.698,24.205,0.199,Incorrect
Q96BN8,U10-009,0.734,91.0,124.0,0.18,20.0,111.0,4.395,43.581,0.292,Acceptable
P28482,159,0.607,37.0,61.0,0.479,34.0,71.0,2.945,5.184,0.514,Medium
P31016,006,0.0,0.0,3.0,1.0,11.0,11.0,17.795,79.578,0.006,Incorrect
P62826,085,1.0,1.0,1.0,0.5,1.0,2.0,2.335,33.716,0.451,Acceptable
Q3KK31,097,0.118,2.0,17.0,0.982,108.0,110.0,11.657,34.038,0.064,Incorrect
Q9Y6K1,000,0.0,0.0,13.0,1.0,70.0,70.0,18.958,54.234,0.01,Incorrect
Q3KK31,004,0.061,2.0,33.0,0.982,108.0,110.0,15.549,34.208,0.043,Incorrect
Q3KK31,001,0.5,3.0,6.0,0.973,107.0,110.0,9.23,56.977,0.183,Incorrect
P35520,140,0.116,5.0,43.0,0.9,45.0,50.0,23.182,52.983,0.049,Incorrect
P53042,041,0.0,0.0,0.0,1.0,46.0,46.0,12.428,47.841,0.015,Incorrect
P00523,U100-004,0.882,30.0,34.0,0.524,33.0,63.0,2.084,8.657,0.571,Medium
Q95PM0,000,0.0,0.0,0.0,1.0,54.0,54.0,3.756,46.959,0.056,Incorrect
P27577,030,0.179,5.0,28.0,0.886,39.0,44.0,7.633,26.217,0.104,Incorrect
P14633,U100-001,0.647,11.0,17.0,0.154,2.0,13.0,0.867,3.708,0.746,Medium
P04637,008,0.0,0.0,0.0,0.0,0.0,0.0,19.803,43.237,0.014,Incorrect
P35520,129,0.091,6.0,66.0,0.88,44.0,50.0,18.238,33.013,0.053,Incorrect
Q63450,106,0.377,29.0,77.0,0.603,44.0,73.0,9.108,20.048,0.185,Incorrect
P35520,186,0.113,6.0,53.0,0.88,44.0,50.0,21.84,35.001,0.058,Incorrect
,,,,,,,,,,,Incorrect
B5XAZ0,090,0.926,25.0,27.0,0.074,2.0,27.0,2.359,17.308,0.469,Acceptable
Q3KK31,U100-006,0.725,58.0,80.0,0.473,52.0,110.0,1.934,4.562,0.626,Medium
P62826,U10-008,0.5,1.0,2.0,0.5,1.0,2.0,1.124,15.811,0.455,Acceptable
P28482,248,0.239,16.0,67.0,0.775,55.0,71.0,12.54,11.835,0.198,Incorrect
,,,,,,,,,,,Incorrect
P27577,U10-001,0.714,25.0,35.0,0.432,19.0,44.0,5.704,10.75,0.388,Acceptable
Q04929,U10-005,0.0,0.0,12.0,1.0,3.0,3.0,4.855,14.716,0.112,Incorrect
O08967,023,0.219,7.0,32.0,0.883,53.0,60.0,5.468,15.379,0.174,Incorrect
P14633,U100-009,0.647,11.0,17.0,0.154,2.0,13.0,0.844,2.51,0.776,Medium
Q63450,064,0.0,0.0,12.0,1.0,73.0,73.0,12.303,42.249,0.018,Incorrect
Q8NQJ3,007,0.0,0.0,0.0,0.0,0.0,0.0,5.478,42.732,0.036,Incorrect
B5XAZ0,020,0.571,8.0,14.0,0.704,19.0,27.0,4.357,23.026,0.266,Acceptable
P28482,024,0.275,14.0,51.0,0.803,57.0,71.0,9.434,12.507,0.205,Incorrect
Q3KK31,104,0.133,2.0,15.0,0.982,108.0,110.0,12.086,25.911,0.082,Incorrect
P35520,090,0.211,15.0,71.0,0.7,35.0,50.0,16.557,37.784,0.089,Incorrect
Q3KK31,087,0.067,1.0,15.0,0.991,109.0,110.0,14.847,43.558,0.038,Incorrect
P35520,130,0.182,6.0,33.0,0.88,44.0,50.0,14.389,29.322,0.09,Incorrect
P12931,057,0.0,0.0,14.0,1.0,60.0,60.0,5.927,55.429,0.028,Incorrect
P00523,114,0.0,0.0,10.0,1.0,63.0,63.0,9.918,54.935,0.015,Incorrect
P31016,063,0.0,0.0,0.0,1.0,11.0,11.0,12.222,43.341,0.017,Incorrect
O08967,018,0.36,9.0,25.0,0.85,51.0,60.0,4.154,28.287,0.186,Incorrect
Q96BN8,030,0.246,15.0,61.0,0.865,96.0,111.0,13.014,54.231,0.094,Incorrect
P53686,078,0.25,2.0,8.0,0.952,40.0,42.0,3.956,7.044,0.323,Acceptable
P28482,U10-000,0.615,56.0,91.0,0.211,15.0,71.0,2.355,5.836,0.528,Medium
Q3KK31,003,0.273,3.0,11.0,0.973,107.0,110.0,11.935,59.292,0.103,Incorrect
Q3KK31,070,0.143,2.0,14.0,0.982,108.0,110.0,13.309,35.528,0.07,Incorrect
P12931,146,0.0,0.0,54.0,1.0,60.0,60.0,11.279,41.688,0.019,Incorrect
P62826,025,1.0,1.0,1.0,0.5,1.0,2.0,1.236,20.07,0.583,Medium
P35520,172,0.05,7.0,140.0,0.86,43.0,50.0,25.362,50.704,0.027,Incorrect
B5XAZ0,108,0.444,4.0,9.0,0.852,23.0,27.0,8.725,21.097,0.204,Incorrect
P53686,005,0.556,5.0,9.0,0.881,37.0,42.0,4.609,9.942,0.358,Acceptable
O76074,U10-000,0.75,3.0,4.0,0.571,4.0,7.0,1.591,7.745,0.589,Medium
P28482,157,0.306,19.0,62.0,0.732,52.0,71.0,12.09,22.187,0.15,Incorrect
P14633,U100-002,0.647,11.0,17.0,0.154,2.0,13.0,0.841,2.534,0.775,Medium
B5XAZ0,091,0.588,10.0,17.0,0.63,17.0,27.0,4.906,17.984,0.285,Acceptable
P62826,070,0.029,1.0,35.0,0.5,1.0,2.0,27.774,56.303,0.018,Incorrect
Q63450,259,0.267,4.0,15.0,0.945,69.0,73.0,6.19,20.523,0.156,Incorrect
P53042,U100-009,0.696,32.0,46.0,0.304,14.0,46.0,1.601,4.241,0.655,Medium
P28482,268,0.429,27.0,63.0,0.62,44.0,71.0,5.712,10.027,0.304,Acceptable
B5XAZ0,014,1.0,26.0,26.0,0.037,1.0,27.0,1.567,0.878,0.823,High
D2AJU0,U100-002,0.0,0.0,2.0,1.0,40.0,40.0,9.031,41.46,0.022,Incorrect
Q58719,005,0.868,59.0,68.0,0.106,7.0,66.0,3.3,11.728,0.461,Acceptable
P07038,U100-007,0.133,2.0,15.0,0.5,2.0,4.0,2.962,6.268,0.328,Acceptable
P32527,057,0.889,32.0,36.0,0.273,12.0,44.0,1.127,1.236,0.836,High
P12931,152,0.0,0.0,0.0,1.0,60.0,60.0,8.001,57.27,0.019,Incorrect
P12931,124,0.0,0.0,3.0,1.0,60.0,60.0,11.025,62.858,0.012,Incorrect
Q3KK31,069,0.5,2.0,4.0,0.982,108.0,110.0,4.66,64.196,0.204,Incorrect
P53042,014,0.895,17.0,19.0,0.63,29.0,46.0,2.778,11.397,0.493,Medium
Q63450,268,0.462,18.0,39.0,0.753,55.0,73.0,5.584,9.112,0.331,Acceptable
O08967,U100-005,0.35,7.0,20.0,0.883,53.0,60.0,9.995,49.961,0.133,Incorrect
Q58719,010,0.74,57.0,77.0,0.136,9.0,66.0,4.772,24.014,0.314,Acceptable
P62826,066,1.0,1.0,1.0,0.5,1.0,2.0,10.377,47.261,0.351,Acceptable
D2AJU0,012,0.0,0.0,0.0,1.0,40.0,40.0,15.726,44.43,0.015,Incorrect
P28482,121,0.474,36.0,76.0,0.493,35.0,71.0,3.069,4.072,0.493,Medium
P28482,179,0.327,16.0,49.0,0.775,55.0,71.0,14.846,31.435,0.135,Incorrect
Q63450,115,0.2,9.0,45.0,0.877,64.0,73.0,7.605,16.35,0.15,Incorrect
P13864,U100-005,0.0,0.0,0.0,1.0,1.0,1.0,5.444,27.576,0.052,Incorrect
P35520,105,0.06,5.0,84.0,0.9,45.0,50.0,24.312,50.397,0.03,Incorrect
Q83RJ4,U100-001,0.0,0.0,5.0,1.0,43.0,43.0,12.488,47.591,0.015,Incorrect
Q6GQQ9,U10-002,0.296,8.0,27.0,0.795,31.0,39.0,11.6,28.061,0.132,Incorrect
P32527,077,0.579,11.0,19.0,0.75,33.0,44.0,9.496,17.893,0.262,Acceptable
B5XAZ0,056,0.897,26.0,29.0,0.037,1.0,27.0,3.178,1.942,0.676,Medium
P28482,096,0.259,15.0,58.0,0.789,56.0,71.0,11.936,24.693,0.127,Incorrect
O08967,U10-009,0.28,7.0,25.0,0.883,53.0,60.0,9.758,25.303,0.135,Incorrect
P53042,029,0.0,0.0,21.0,1.0,46.0,46.0,10.08,18.336,0.066,Incorrect
P35520,113,0.072,5.0,69.0,0.9,45.0,50.0,23.295,49.83,0.035,Incorrect
Q3KK31,029,0.133,2.0,15.0,0.982,108.0,110.0,11.265,31.197,0.073,Incorrect
Q63450,296,0.479,23.0,48.0,0.685,50.0,73.0,9.24,28.588,0.195,Incorrect
B5XAZ0,010,0.963,26.0,27.0,0.037,1.0,27.0,2.046,3.126,0.731,Medium
P14633,U100-005,0.647,11.0,17.0,0.154,2.0,13.0,0.804,2.639,0.779,Medium
Q3KK31,052,0.111,2.0,18.0,0.982,108.0,110.0,13.527,28.305,0.069,Incorrect
P28482,077,0.28,14.0,50.0,0.803,57.0,71.0,13.411,14.442,0.183,Incorrect
P00523,061,0.0,0.0,0.0,1.0,63.0,63.0,3.028,51.955,0.074,Incorrect
P28482,211,0.525,42.0,80.0,0.408,29.0,71.0,2.94,4.226,0.511,Medium
P14633,001,0.0,0.0,1.0,1.0,13.0,13.0,10.65,31.897,0.029,Incorrect
P35520,233,0.113,6.0,53.0,0.88,44.0,50.0,24.758,40.685,0.053,Incorrect
P28482,016,0.369,24.0,65.0,0.662,47.0,71.0,4.203,8.288,0.332,Acceptable
P31016,010,0.0,0.0,21.0,1.0,11.0,11.0,16.659,62.492,0.009,Incorrect
P28482,143,0.486,35.0,72.0,0.507,36.0,71.0,3.291,6.683,0.425,Acceptable
P21333,U100-004,0.868,46.0,53.0,0.446,37.0,83.0,2.595,11.447,0.491,Medium
Q96BN8,U100-006,0.898,97.0,108.0,0.126,14.0,111.0,2.086,32.186,0.435,Acceptable
,,,,,,,,,,,Incorrect
P12931,U10-005,0.741,20.0,27.0,0.667,40.0,60.0,2.259,20.512,0.398,Acceptable
Q63450,298,0.0,0.0,21.0,1.0,73.0,73.0,9.87,25.296,0.041,Incorrect
Q8NQJ3,036,0.0,0.0,4.0,0.0,0.0,0.0,2.839,13.33,0.169,Incorrect
P28482,308,0.264,14.0,53.0,0.803,57.0,71.0,12.386,28.25,0.121,Incorrect
Q63450,197,0.364,32.0,88.0,0.562,41.0,73.0,3.055,5.412,0.423,Acceptable
Q63450,116,0.0,0.0,4.0,1.0,73.0,73.0,10.738,38.88,0.022,Incorrect
P00523,125,0.0,0.0,9.0,1.0,63.0,63.0,7.387,41.783,0.026,Incorrect
P53042,031,0.0,0.0,13.0,1.0,46.0,46.0,7.53,24.548,0.048,Incorrect
Q04929,009,0.0,0.0,0.0,1.0,3.0,3.0,11.461,42.02,0.019,Incorrect
Q9Y6K1,U10-008,0.091,2.0,22.0,0.971,68.0,70.0,18.78,65.235,0.038,Incorrect
O08967,013,0.19,4.0,21.0,0.933,56.0,60.0,5.216,25.75,0.122,Incorrect
P00523,U100-003,0.882,30.0,34.0,0.524,33.0,63.0,1.895,7.981,0.6,Medium
P27577,023,0.542,13.0,24.0,0.705,31.0,44.0,3.197,9.314,0.392,Acceptable
Q58719,U100-004,0.753,61.0,81.0,0.076,5.0,66.0,5.57,15.441,0.351,Acceptable
,,,,,,,,,,,Incorrect
,,,,,,,,,,,Incorrect
B5XAZ0,049,0.333,4.0,12.0,0.852,23.0,27.0,8.239,14.275,0.209,Incorrect
P32527,002,1.0,42.0,42.0,0.045,2.0,44.0,0.991,0.526,0.897,High
P53686,061,0.182,2.0,11.0,0.952,40.0,42.0,5.315,10.998,0.21,Incorrect
Q02750,020,0.885,69.0,78.0,0.179,15.0,84.0,6.026,3.055,0.61,Medium
P28482,249,0.388,31.0,80.0,0.563,40.0,71.0,8.986,10.527,0.27,Acceptable
P07038,U100-002,0.231,3.0,13.0,0.25,1.0,4.0,2.342,6.222,0.391,Acceptable
,,,,,,,,,,,Incorrect
P12931,037,0.0,0.0,2.0,1.0,60.0,60.0,4.691,64.306,0.037,Incorrect
Q83RJ4,018,0.0,0.0,0.0,1.0,43.0,43.0,9.41,37.892,0.024,Incorrect
B5XAZ0,008,0.737,14.0,19.0,0.481,13.0,27.0,3.188,4.983,0.554,Medium
O08967,025,0.6,6.0,10.0,0.9,54.0,60.0,7.949,31.267,0.234,Acceptable
P12931,131,0.0,0.0,3.0,1.0,60.0,60.0,11.577,51.204,0.014,Incorrect
P35520,163,0.158,3.0,19.0,0.94,47.0,50.0,20.276,56.554,0.062,Incorrect
P28482,258,0.261,24.0,92.0,0.662,47.0,71.0,10.351,27.254,0.123,Incorrect
,,,,,,,,,,,Incorrect
P35520,010,0.111,3.0,27.0,0.94,47.0,50.0,25.286,56.773,0.046,Incorrect
Q63450,187,0.0,0.0,8.0,1.0,73.0,73.0,8.526,26.567,0.041,Incorrect
P28482,041,0.159,21.0,132.0,0.704,50.0,71.0,13.781,26.846,0.087,Incorrect
,,,,,,,,,,,Incorrect
Q63450,041,0.213,13.0,61.0,0.822,60.0,73.0,10.692,21.175,0.124,Incorrect
P07038,U100-001,0.0,0.0,0.0,1.0,4.0,4.0,2.983,23.202,0.107,Incorrect
Q8NQJ3,U10-009,0.0,0.0,0.0,0.0,0.0,0.0,8.84,63.14,0.015,Incorrect
P31016,042,0.0,0.0,0.0,1.0,11.0,11.0,8.907,47.68,0.019,Incorrect
B5XAZ0,022,0.609,14.0,23.0,0.481,13.0,27.0,9.584,5.819,0.438,Acceptable
Q63450,055,0.0,0.0,40.0,1.0,73.0,73.0,15.113,38.951,0.018,Incorrect
P29350,U10-006,0.0,0.0,50.0,1.0,20.0,20.0,20.195,56.341,0.009,Incorrect
P28482,075,0.265,9.0,34.0,0.873,62.0,71.0,5.298,8.093,0.288,Acceptable
,,,,,,,,,,,Incorrect
P28482,050,0.493,35.0,71.0,0.507,36.0,71.0,2.771,5.32,0.479,Acceptable
P53686,U10-000,0.8,4.0,5.0,0.905,38.0,42.0,3.871,9.648,0.456,Acceptable
P62826,086,1.0,1.0,1.0,0.5,1.0,2.0,1.292,20.713,0.573,Medium
P21333,U100-005,0.82,73.0,89.0,0.12,10.0,83.0,0.602,1.375,0.885,High
P31016,038,0.0,0.0,3.0,1.0,11.0,11.0,10.13,41.947,0.02,Incorrect
P14633,019,0.0,0.0,17.0,1.0,13.0,13.0,23.058,38.672,0.017,Incorrect
P28482,052,0.378,17.0,45.0,0.761,54.0,71.0,12.733,12.636,0.234,Acceptable
P35520,025,0.857,42.0,49.0,0.16,8.0,50.0,2.389,7.357,0.571,Medium
P53686,047,0.429,6.0,14.0,0.857,36.0,42.0,4.393,7.684,0.361,Acceptable
P62826,092,1.0,1.0,1.0,0.5,1.0,2.0,3.346,21.625,0.434,Acceptable
Q58719,017,0.569,37.0,65.0,0.439,29.0,66.0,13.797,43.699,0.206,Incorrect
P12931,051,0.0,0.0,4.0,1.0,60.0,60.0,5.101,28.851,0.053,Incorrect
P12931,102,0.0,0.0,0.0,1.0,60.0,60.0,8.567,55.223,0.018,Incorrect
Q83RJ4,U100-003,0.0,0.0,3.0,1.0,43.0,43.0,11.742,46.809,0.016,Incorrect
O76074,U10-005,0.333,2.0,6.0,0.714,5.0,7.0,3.202,11.035,0.295,Acceptable
Q3KK31,089,0.25,2.0,8.0,0.982,108.0,110.0,10.515,55.118,0.098,Incorrect
P00523,070,0.0,0.0,11.0,1.0,63.0,63.0,7.234,58.842,0.021,Incorrect
P32527,014,0.875,35.0,40.0,0.205,9.0,44.0,1.096,1.183,0.836,High
Q3KK31,036,0.375,3.0,8.0,0.973,107.0,110.0,12.07,65.062,0.136,Incorrect
Q8RT31,005,0.643,27.0,42.0,0.591,39.0,66.0,1.678,3.956,0.636,Medium
Q63450,092,0.0,0.0,24.0,1.0,73.0,73.0,10.32,19.531,0.06,Incorrect
P12931,023,0.0,0.0,4.0,1.0,60.0,60.0,10.665,58.218,0.013,Incorrect
P35520,020,0.727,32.0,44.0,0.36,18.0,50.0,12.306,28.049,0.275,Acceptable
P29350,005,0.0,0.0,0.0,1.0,20.0,20.0,21.666,78.698,0.005,Incorrect
P28482,246,0.386,34.0,88.0,0.521,37.0,71.0,9.868,25.042,0.171,Incorrect
Q3KK31,035,0.273,3.0,11.0,0.973,107.0,110.0,15.693,57.151,0.101,Incorrect
Q95PM0,002,0.0,0.0,0.0,1.0,54.0,54.0,3.694,40.693,0.061,Incorrect
Q8NQJ3,040,0.0,0.0,1.0,0.0,0.0,0.0,3.281,24.424,0.094,Incorrect
Q3KK31,U100-004,0.763,58.0,76.0,0.473,52.0,110.0,1.586,3.947,0.686,Medium
Q63450,189,0.054,2.0,37.0,0.973,71.0,73.0,16.535,37.538,0.037,Incorrect
Q95PM0,008,0.0,0.0,5.0,1.0,54.0,54.0,8.941,32.156,0.031,Incorrect
B5XAZ0,009,0.2,3.0,15.0,0.889,24.0,27.0,8.458,13.473,0.172,Incorrect
P28482,265,0.4,12.0,30.0,0.831,59.0,71.0,13.121,23.908,0.175,Incorrect
P12931,068,0.0,0.0,2.0,1.0,60.0,60.0,9.645,50.684,0.017,Incorrect
P29350,035,0.0,0.0,0.0,1.0,20.0,20.0,27.01,78.492,0.005,Incorrect
P28482,029,0.254,18.0,71.0,0.746,53.0,71.0,13.69,27.12,0.118,Incorrect
P35520,087,0.219,7.0,32.0,0.86,43.0,50.0,21.207,29.577,0.1,Incorrect
P31016,021,0.0,0.0,3.0,1.0,11.0,11.0,13.626,51.133,0.013,Incorrect
P35520,188,0.125,4.0,32.0,0.92,46.0,50.0,16.591,30.062,0.069,Incorrect
P28482,207,0.65,13.0,20.0,0.817,58.0,71.0,14.066,23.339,0.259,Acceptable
O08967,029,0.0,0.0,9.0,1.0,60.0,60.0,9.677,23.037,0.048,Incorrect
P28482,032,0.362,29.0,80.0,0.592,42.0,71.0,9.209,18.709,0.186,Incorrect
P29350,003,0.0,0.0,1.0,1.0,20.0,20.0,7.52,32.45,0.034,Incorrect
P21333,U10-003,0.913,42.0,46.0,0.494,41.0,83.0,2.96,16.855,0.44,Acceptable
O08967,010,1.0,5.0,5.0,0.917,55.0,60.0,7.329,30.28,0.371,Acceptable
P32527,U100-000,0.86,37.0,43.0,0.159,7.0,44.0,0.963,0.717,0.854,High
Q63450,272,0.0,0.0,27.0,1.0,73.0,73.0,15.814,37.672,0.019,Incorrect
P35520,067,0.62,31.0,50.0,0.38,19.0,50.0,16.453,39.371,0.224,Incorrect
P28482,280,0.448,26.0,58.0,0.634,45.0,71.0,8.65,17.89,0.221,Incorrect
O60741,U10-007,0.345,10.0,29.0,0.831,49.0,59.0,7.792,25.628,0.16,Incorrect
P12931,026,0.0,0.0,3.0,1.0,60.0,60.0,5.228,46.097,0.036,Incorrect
P62826,098,0.25,1.0,4.0,0.5,1.0,2.0,12.68,52.76,0.096,Incorrect
P12931,117,0.333,1.0,3.0,0.983,59.0,60.0,4.479,64.19,0.15,Incorrect
Q83RJ4,006,0.0,0.0,0.0,1.0,43.0,43.0,14.972,28.671,0.03,Incorrect
Q8NQJ3,066,0.0,0.0,1.0,0.0,0.0,0.0,10.062,30.402,0.031,Incorrect
Q63450,274,0.0,0.0,23.0,1.0,73.0,73.0,15.127,43.059,0.016,Incorrect
P00523,000,0.211,4.0,19.0,0.937,59.0,63.0,4.567,19.388,0.156,Incorrect
Q04929,U100-009,0.0,0.0,0.0,1.0,3.0,3.0,3.803,11.497,0.163,Incorrect
P62826,102,1.0,1.0,1.0,0.5,1.0,2.0,1.296,19.455,0.578,Medium
P31016,027,0.0,0.0,2.0,1.0,11.0,11.0,10.443,29.065,0.033,Incorrect
P53686,017,0.5,3.0,6.0,0.929,39.0,42.0,4.818,12.543,0.301,Acceptable
Q63450,148,0.0,0.0,20.0,1.0,73.0,73.0,15.469,37.766,0.019,Incorrect
Q02750,002,0.435,10.0,23.0,0.881,74.0,84.0,18.268,31.241,0.17,Incorrect
Q3KK31,U10-004,0.091,2.0,22.0,0.982,108.0,110.0,11.189,45.794,0.047,Incorrect
P35520,204,0.167,3.0,18.0,0.94,47.0,50.0,26.863,48.274,0.067,Incorrect
P28482,139,0.639,53.0,83.0,0.254,18.0,71.0,2.34,5.704,0.54,Medium
P28482,289,0.185,12.0,65.0,0.831,59.0,71.0,6.09,12.007,0.192,Incorrect
P35520,119,0.333,7.0,21.0,0.86,43.0,50.0,16.084,26.672,0.145,Incorrect
P14633,041,0.0,0.0,0.0,1.0,13.0,13.0,14.432,78.023,0.007,Incorrect
P28482,305,0.46,23.0,50.0,0.676,48.0,71.0,10.312,21.3,0.206,Incorrect
Q63450,271,0.438,14.0,32.0,0.808,59.0,73.0,4.638,16.965,0.244,Acceptable
P53686,018,0.0,0.0,1.0,1.0,42.0,42.0,4.959,22.408,0.07,Incorrect
Q8NQJ3,023,0.0,0.0,0.0,0.0,0.0,0.0,4.894,21.126,0.075,Incorrect
Q8NQJ3,037,0.0,0.0,18.0,0.0,0.0,0.0,11.964,36.26,0.023,Incorrect
P32527,026,0.892,33.0,37.0,0.25,11.0,44.0,1.181,1.222,0.83,High
P12931,163,0.0,0.0,10.0,1.0,60.0,60.0,3.745,50.923,0.055,Incorrect
Q63450,078,0.0,0.0,19.0,1.0,73.0,73.0,15.054,36.955,0.02,Incorrect
P35520,141,1.0,35.0,35.0,0.3,15.0,50.0,2.537,21.036,0.466,Acceptable
P53042,U10-009,0.718,28.0,39.0,0.391,18.0,46.0,1.862,6.33,0.585,Medium
B5XAZ0,U10-005,0.9,27.0,30.0,0.0,0.0,27.0,1.337,2.606,0.79,Medium
P31016,013,0.0,0.0,35.0,1.0,11.0,11.0,15.729,42.984,0.016,Incorrect
Q63450,151,0.0,0.0,25.0,1.0,73.0,73.0,15.214,38.177,0.019,Incorrect
P53042,052,0.0,0.0,1.0,1.0,46.0,46.0,8.776,43.693,0.022,Incorrect
D2AJU0,002,0.0,0.0,0.0,1.0,40.0,40.0,9.649,34.513,0.027,Incorrect
P62826,064,1.0,1.0,1.0,0.5,1.0,2.0,1.723,30.787,0.501,Medium
Q83RJ4,U100-007,0.711,27.0,38.0,0.372,16.0,43.0,5.574,10.563,0.39,Acceptable
P53686,U100-006,0.0,0.0,1.0,1.0,42.0,42.0,3.219,28.877,0.086,Incorrect
P35520,U10-007,0.971,33.0,34.0,0.34,17.0,50.0,2.928,39.258,0.408,Acceptable
,,,,,,,,,,,Incorrect
Q04929,012,0.033,1.0,30.0,0.667,2.0,3.0,5.198,11.243,0.158,Incorrect
Q96BN8,020,0.446,50.0,112.0,0.55,61.0,111.0,5.937,51.927,0.178,Incorrect
P29350,012,0.0,0.0,1.0,1.0,20.0,20.0,14.419,74.795,0.008,Incorrect
P27577,015,0.714,5.0,7.0,0.886,39.0,44.0,5.07,21.195,0.311,Acceptable
Q63450,156,0.449,22.0,49.0,0.699,51.0,73.0,5.741,15.951,0.245,Acceptable
Q8NQJ3,026,0.0,0.0,5.0,0.0,0.0,0.0,10.827,37.584,0.022,Incorrect
Q96BN8,024,0.13,15.0,115.0,0.865,96.0,111.0,18.425,57.917,0.053,Incorrect
P35520,128,0.091,7.0,77.0,0.86,43.0,50.0,19.714,39.721,0.047,Incorrect
,,,,,,,,,,,Incorrect
P62826,011,1.0,1.0,1.0,0.5,1.0,2.0,1.578,25.49,0.525,Medium
B5XAZ0,U100-007,0.964,27.0,28.0,0.0,0.0,27.0,0.211,0.432,0.981,High
Q63450,024,0.41,34.0,83.0,0.534,39.0,73.0,9.17,19.486,0.199,Incorrect
