	uniprot	pdb	region_1	region_2	af_filename	chain	cluster	cf_filename
12	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-001	D9N168_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
13	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-005	D9N168_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
14	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-007	D9N168_U100-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
15	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-009	D9N168_U100-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
16	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-008	D9N168_U10-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
17	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-000	D9N168_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
18	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-003	D9N168_U100-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
19	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-004	D9N168_U10-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
20	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-007	D9N168_U10-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
21	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-004	D9N168_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
22	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-005	D9N168_U10-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
23	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-002	D9N168_U100-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
24	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-009	D9N168_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
25	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-006	D9N168_U100-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
26	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-001	D9N168_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
27	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-006	D9N168_U10-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
28	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-000	D9N168_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
29	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-008	D9N168_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
30	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-003	D9N168_U10-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
31	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-002	D9N168_U10-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
32	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-001	D9N168_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
33	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-005	D9N168_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
34	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-007	D9N168_U100-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
35	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-009	D9N168_U100-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
36	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-008	D9N168_U10-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
37	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-000	D9N168_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
38	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-003	D9N168_U100-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
39	D9N168	4o0i	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-004	D9N168_U10-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
40	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-007	D9N168_U10-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
41	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-004	D9N168_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
42	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-005	D9N168_U10-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
43	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-002	D9N168_U100-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
44	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-009	D9N168_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
45	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-006	D9N168_U100-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
46	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-001	D9N168_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
47	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-006	D9N168_U10-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
48	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-000	D9N168_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
49	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-008	D9N168_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
50	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-003	D9N168_U10-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
51	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-002	D9N168_U10-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
52	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-001	D9N168_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
53	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-005	D9N168_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
54	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-007	D9N168_U100-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
55	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-009	D9N168_U100-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
56	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-008	D9N168_U10-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
57	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-000	D9N168_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
58	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-003	D9N168_U100-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
59	D9N168	6ueu	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-004	D9N168_U10-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
60	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-007	D9N168_U10-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
61	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-004	D9N168_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
62	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-005	D9N168_U10-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
63	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-002	D9N168_U100-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
64	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-009	D9N168_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
65	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-006	D9N168_U100-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
66	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-001	D9N168_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
67	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-006	D9N168_U10-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
68	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-000	D9N168_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
69	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-008	D9N168_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
70	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-003	D9N168_U10-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
71	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-002	D9N168_U10-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
72	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-001	D9N168_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
73	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-005	D9N168_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
74	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-007	D9N168_U100-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
75	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-009	D9N168_U100-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
76	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-008	D9N168_U10-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
77	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-000	D9N168_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
78	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-003	D9N168_U100-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
79	D9N168	6ur2	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-004	D9N168_U10-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
80	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-007	D9N168_U10-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
81	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-004	D9N168_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
82	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-005	D9N168_U10-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
83	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-002	D9N168_U100-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
84	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-009	D9N168_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
85	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-006	D9N168_U100-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
86	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-001	D9N168_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
87	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-006	D9N168_U10-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
88	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-000	D9N168_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
89	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-008	D9N168_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
90	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-003	D9N168_U10-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
91	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-002	D9N168_U10-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
92	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-001	D9N168_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
93	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-005	D9N168_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
94	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-007	D9N168_U100-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
95	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-009	D9N168_U100-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
96	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-008	D9N168_U10-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
97	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-000	D9N168_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
98	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-003	D9N168_U100-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
99	D9N168	6ur4	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-004	D9N168_U10-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
100	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-007	D9N168_U10-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
101	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-004	D9N168_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
102	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-005	D9N168_U10-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
103	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-002	D9N168_U100-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
104	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-009	D9N168_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
105	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-006	D9N168_U100-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
106	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-001	D9N168_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
107	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-006	D9N168_U10-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
108	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-000	D9N168_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
109	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-008	D9N168_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
110	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-003	D9N168_U10-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
111	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-002	D9N168_U10-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
112	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-001	D9N168_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
113	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-005	D9N168_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
114	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-007	D9N168_U100-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
115	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-009	D9N168_U100-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
116	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-008	D9N168_U10-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
117	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-000	D9N168_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
118	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-003	D9N168_U100-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
119	D9N168	6ur9	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-004	D9N168_U10-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
120	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-007	D9N168_U10-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
121	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-004	D9N168_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
122	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-005	D9N168_U10-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
123	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-002	D9N168_U100-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
124	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-009	D9N168_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
125	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-006	D9N168_U100-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
126	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-001	D9N168_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
127	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-006	D9N168_U10-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
128	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-000	D9N168_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
129	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-008	D9N168_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
130	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-003	D9N168_U10-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
131	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-002	D9N168_U10-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
132	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-001	D9N168_U100-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
133	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-005	D9N168_U100-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
134	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-007	D9N168_U100-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
135	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-009	D9N168_U100-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
136	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-008	D9N168_U10-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
137	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-000	D9N168_U10-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
138	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-003	D9N168_U100-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
139	D9N168	6us5	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-004	D9N168_U10-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
140	D9N168	8scg	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-007	D9N168_U10-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
141	D9N168	8scg	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-004	D9N168_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
142	D9N168	8scg	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-005	D9N168_U10-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
143	D9N168	8scg	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-002	D9N168_U100-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
144	D9N168	8scg	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-009	D9N168_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
145	D9N168	8scg	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-006	D9N168_U100-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
146	D9N168	8scg	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-001	D9N168_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
147	D9N168	8scg	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-006	D9N168_U10-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
