uniprot,cluster,fnat,fnat_correct,fnat_total,fnonnat,fnonnat_nnative,fnonnat_model,irms,lrms,dockq,capri
P23687,367,0.464,58.0,125.0,0.804,238.0,296.0,12.063,17.729,0.222,Incorrect
Q7KLV9,003,0.851,40.0,47.0,0.111,5.0,45.0,1.307,8.337,0.643,Medium
P23687,151,0.564,84.0,149.0,0.716,212.0,296.0,7.367,14.463,0.287,Acceptable
O68880,106,0.886,78.0,88.0,0.133,12.0,90.0,0.855,2.422,0.855,High
P23687,116,0.572,119.0,208.0,0.598,177.0,296.0,3.908,4.174,0.502,Medium
E1K248,089,0.412,7.0,17.0,0.844,38.0,45.0,8.45,18.715,0.204,Incorrect
O68880,023,0.888,79.0,89.0,0.122,11.0,90.0,0.621,1.648,0.902,High
P0AG30,229,0.892,33.0,37.0,0.083,3.0,36.0,0.862,0.761,0.879,High
H6SG27,162,0.0,0.0,2.0,1.0,17.0,17.0,16.339,18.961,0.059,Incorrect
O68880,019,0.851,80.0,94.0,0.111,10.0,90.0,1.183,2.536,0.795,Medium
Q9I5E6,003,0.483,29.0,60.0,0.651,54.0,83.0,7.62,10.234,0.31,Acceptable
H6SG27,166,0.0,0.0,3.0,1.0,17.0,17.0,8.788,29.793,0.035,Incorrect
P14677,100,0.909,30.0,33.0,0.143,5.0,35.0,0.615,0.922,0.918,High
E1K248,025,0.087,2.0,23.0,0.956,43.0,45.0,11.781,30.592,0.058,Incorrect
P04807,098,0.674,29.0,43.0,0.094,3.0,32.0,2.935,4.873,0.545,Medium
E1K248,006,0.619,26.0,42.0,0.422,19.0,45.0,3.903,6.479,0.46,Acceptable
P0AG30,015,0.562,18.0,32.0,0.5,18.0,36.0,3.643,8.719,0.398,Acceptable
G0WVH3,020,0.0,0.0,1.0,1.0,30.0,30.0,13.743,32.117,0.026,Incorrect
P23687,292,0.312,30.0,96.0,0.899,266.0,296.0,15.554,23.932,0.145,Incorrect
P04807,150,0.041,3.0,74.0,0.906,29.0,32.0,9.073,11.97,0.134,Incorrect
H6SG27,234,1.0,1.0,1.0,0.941,16.0,17.0,4.41,10.171,0.505,Medium
E1K248,088,0.0,0.0,23.0,1.0,45.0,45.0,12.622,27.849,0.033,Incorrect
P14677,062,0.909,30.0,33.0,0.143,5.0,35.0,0.838,0.989,0.886,High
H6SG27,004,0.0,0.0,5.0,1.0,17.0,17.0,12.604,22.537,0.046,Incorrect
O60729,003,0.019,1.0,54.0,0.986,69.0,70.0,12.966,20.932,0.058,Incorrect
F2Z6J5,159,0.105,4.0,38.0,0.92,46.0,50.0,13.745,21.356,0.085,Incorrect
A0A3B6UEQ0,084,0.0,0.0,39.0,1.0,33.0,33.0,12.217,21.132,0.051,Incorrect
P23687,225,0.662,157.0,237.0,0.47,139.0,296.0,4.084,4.242,0.527,Medium
A0A0H2WY27,012,0.294,5.0,17.0,0.878,36.0,41.0,14.108,26.174,0.134,Incorrect
A0A3B6UEQ0,115,0.095,2.0,21.0,0.939,31.0,33.0,9.481,19.255,0.094,Incorrect
Q8GN86,U10-005,0.0,0.0,30.0,1.0,14.0,14.0,14.604,25.064,0.038,Incorrect
H6SG27,159,0.0,0.0,0.0,1.0,17.0,17.0,8.955,13.49,0.104,Incorrect
Q51504,U100-000,0.947,54.0,57.0,0.115,7.0,61.0,0.692,3.262,0.881,High
H6SG27,146,0.0,0.0,19.0,1.0,17.0,17.0,12.633,27.672,0.033,Incorrect
P23687,105,0.15,21.0,140.0,0.929,275.0,296.0,15.066,23.448,0.092,Incorrect
E1K248,099,0.034,2.0,59.0,0.956,43.0,45.0,15.66,27.873,0.043,Incorrect
A0A140DJY3,U100-001,0.0,0.0,13.0,1.0,28.0,28.0,14.707,28.147,0.031,Incorrect
P04807,081,0.838,31.0,37.0,0.031,1.0,32.0,1.804,5.202,0.658,Medium
P14677,110,0.917,33.0,36.0,0.057,2.0,35.0,0.7,1.502,0.903,High
F2Z6J5,122,0.152,5.0,33.0,0.9,45.0,50.0,10.304,17.053,0.124,Incorrect
Q72AS4,092,0.333,1.0,3.0,0.977,42.0,43.0,9.043,22.286,0.162,Incorrect
P04807,216,0.587,27.0,46.0,0.156,5.0,32.0,4.183,10.672,0.363,Acceptable
P23687,181,0.31,26.0,84.0,0.912,270.0,296.0,12.872,20.368,0.157,Incorrect
P0AG30,U100-001,0.886,31.0,35.0,0.139,5.0,36.0,0.366,0.437,0.942,High
P23687,270,0.627,42.0,67.0,0.858,254.0,296.0,6.878,20.848,0.272,Acceptable
F2Z6J5,018,0.4,4.0,10.0,0.92,46.0,50.0,9.635,22.468,0.183,Incorrect
H6SG27,298,0.0,0.0,11.0,1.0,17.0,17.0,11.432,23.183,0.045,Incorrect
P0AG30,113,0.733,22.0,30.0,0.389,14.0,36.0,1.841,1.78,0.697,Medium
E1K248,246,0.0,0.0,25.0,1.0,45.0,45.0,12.219,28.631,0.032,Incorrect
G0WVH3,004,0.0,0.0,0.0,1.0,30.0,30.0,3.858,31.15,0.067,Incorrect
F2Z6J5,221,0.0,0.0,17.0,1.0,50.0,50.0,12.371,21.698,0.049,Incorrect
G0WVH3,048,0.067,1.0,15.0,0.967,29.0,30.0,6.869,27.121,0.067,Incorrect
H6SG27,036,0.2,1.0,5.0,0.941,16.0,17.0,3.175,10.53,0.259,Acceptable
Q941M3,U10-001,0.0,0.0,28.0,1.0,14.0,14.0,16.227,29.767,0.028,Incorrect
H6SG27,123,0.0,0.0,10.0,1.0,17.0,17.0,6.974,15.407,0.093,Incorrect
Q51504,009,0.0,0.0,35.0,1.0,61.0,61.0,15.71,57.604,0.01,Incorrect
A0A3B6UEQ0,U10-007,0.385,20.0,52.0,0.394,13.0,33.0,3.98,8.149,0.343,Acceptable
P04807,024,0.718,28.0,39.0,0.125,4.0,32.0,1.767,5.084,0.624,Medium
G0WVH3,199,0.2,1.0,5.0,0.967,29.0,30.0,6.83,19.419,0.136,Incorrect
P04807,200,0.475,28.0,59.0,0.125,4.0,32.0,4.462,9.147,0.347,Acceptable
P0AG30,263,0.914,32.0,35.0,0.111,4.0,36.0,0.792,0.742,0.896,High
P0AG30,172,0.861,31.0,36.0,0.139,5.0,36.0,0.396,0.751,0.929,High
H2E7Q8,U100-008,0.766,111.0,145.0,0.224,32.0,143.0,1.494,2.507,0.729,Medium
P23687,267,0.411,51.0,124.0,0.828,245.0,296.0,7.49,10.415,0.283,Acceptable
P14677,031,0.81,17.0,21.0,0.514,18.0,35.0,7.047,29.084,0.311,Acceptable
Q51504,U100-001,0.931,54.0,58.0,0.115,7.0,61.0,0.901,3.699,0.836,High
H6SG27,172,0.0,0.0,3.0,1.0,17.0,17.0,14.63,19.228,0.058,Incorrect
O68880,U100-007,0.944,84.0,89.0,0.067,6.0,90.0,0.257,0.396,0.971,High
H6SG27,306,0.0,0.0,14.0,1.0,17.0,17.0,10.358,21.406,0.052,Incorrect
E1K248,198,0.045,2.0,44.0,0.956,43.0,45.0,13.522,27.031,0.049,Incorrect
F2Z6J5,117,0.107,3.0,28.0,0.94,47.0,50.0,13.315,21.418,0.085,Incorrect
F2Z6J5,209,0.286,4.0,14.0,0.92,46.0,50.0,9.372,22.445,0.145,Incorrect
F2Z6J5,110,0.071,3.0,42.0,0.94,47.0,50.0,10.114,18.56,0.089,Incorrect
P23687,178,0.23,17.0,74.0,0.943,279.0,296.0,8.261,11.996,0.199,Incorrect
G0WVH3,150,0.0,0.0,0.0,1.0,30.0,30.0,9.241,67.692,0.014,Incorrect
Q9I5E6,033,0.406,26.0,64.0,0.687,57.0,83.0,9.162,15.239,0.223,Incorrect
E1K248,152,0.094,3.0,32.0,0.933,42.0,45.0,11.14,21.779,0.081,Incorrect
H6SG27,183,0.0,0.0,2.0,1.0,17.0,17.0,7.621,12.415,0.119,Incorrect
H6SG27,304,0.0,0.0,4.0,1.0,17.0,17.0,11.439,24.707,0.041,Incorrect
A0A0A0V031,015,0.0,0.0,12.0,1.0,27.0,27.0,12.024,36.109,0.023,Incorrect
A0A140DJY3,004,0.0,0.0,1.0,1.0,28.0,28.0,10.224,28.067,0.035,Incorrect
H6SG27,203,0.0,0.0,1.0,1.0,17.0,17.0,15.893,23.48,0.042,Incorrect
Q72AS4,107,0.907,39.0,43.0,0.093,4.0,43.0,1.585,2.613,0.764,Medium
P23687,186,0.357,60.0,168.0,0.797,236.0,296.0,6.715,10.039,0.274,Acceptable
P14677,032,0.971,33.0,34.0,0.057,2.0,35.0,0.358,0.833,0.969,High
P0AG30,302,0.939,31.0,33.0,0.139,5.0,36.0,1.998,1.837,0.752,Medium
P23687,107,0.324,68.0,210.0,0.77,228.0,296.0,7.534,8.528,0.287,Acceptable
Q7KLV9,075,0.294,10.0,34.0,0.778,35.0,45.0,9.645,47.297,0.116,Incorrect
E1K248,050,0.0,0.0,19.0,1.0,45.0,45.0,11.865,26.924,0.035,Incorrect
A0A3B6UEQ0,U10-006,0.125,5.0,40.0,0.848,28.0,33.0,5.613,8.731,0.226,Incorrect
P23687,294,0.388,33.0,85.0,0.889,263.0,296.0,15.467,19.334,0.187,Incorrect
E1K248,123,0.085,4.0,47.0,0.911,41.0,45.0,11.264,21.857,0.078,Incorrect
E1K248,234,0.077,2.0,26.0,0.956,43.0,45.0,12.018,22.462,0.073,Incorrect
Q72AS4,U100-000,1.0,38.0,38.0,0.116,5.0,43.0,1.309,2.666,0.826,High
P04807,U100-000,0.821,32.0,39.0,0.0,0.0,32.0,0.97,2.671,0.812,High
Q72AS4,118,0.143,1.0,7.0,0.977,42.0,43.0,9.555,23.78,0.093,Incorrect
Q9I5E6,074,0.287,31.0,108.0,0.627,52.0,83.0,11.097,31.174,0.125,Incorrect
Q72AS4,017,0.361,13.0,36.0,0.698,30.0,43.0,6.741,14.1,0.225,Incorrect
O68880,082,0.83,78.0,94.0,0.133,12.0,90.0,1.343,3.353,0.75,Medium
O68880,045,0.882,75.0,85.0,0.167,15.0,90.0,1.048,2.401,0.827,High
F2Z6J5,074,0.0,0.0,44.0,1.0,50.0,50.0,13.796,19.974,0.055,Incorrect
O68880,028,0.835,76.0,91.0,0.156,14.0,90.0,0.845,1.745,0.851,High
Q72AS4,192,0.085,4.0,47.0,0.907,39.0,43.0,10.849,23.54,0.073,Incorrect
Q9I5E6,004,0.509,28.0,55.0,0.663,55.0,83.0,6.019,7.507,0.376,Acceptable
O68880,049,0.922,83.0,90.0,0.078,7.0,90.0,0.665,1.987,0.902,High
A0A3B6UEQ0,089,0.321,9.0,28.0,0.727,24.0,33.0,5.933,9.907,0.269,Acceptable
A0A140DJY3,U100-009,0.0,0.0,12.0,1.0,28.0,28.0,14.28,27.976,0.032,Incorrect
P0AG30,083,0.923,24.0,26.0,0.333,12.0,36.0,1.769,2.66,0.751,Medium
A0A0A0V031,U100-002,0.957,22.0,23.0,0.185,5.0,27.0,1.026,1.931,0.863,High
P04807,141,0.651,28.0,43.0,0.125,4.0,32.0,4.559,4.04,0.522,Medium
O68880,116,0.878,72.0,82.0,0.2,18.0,90.0,1.078,1.858,0.831,High
Q941M3,U10-002,0.0,0.0,23.0,1.0,14.0,14.0,16.019,29.099,0.029,Incorrect
A0A3B6UEQ0,085,0.167,4.0,24.0,0.879,29.0,33.0,11.945,21.511,0.106,Incorrect
Q72AS4,110,0.289,13.0,45.0,0.698,30.0,43.0,6.623,13.846,0.204,Incorrect
Q72AS4,199,0.1,1.0,10.0,0.977,42.0,43.0,11.057,19.863,0.091,Incorrect
E1K248,038,0.083,5.0,60.0,0.889,40.0,45.0,10.685,24.741,0.069,Incorrect
H2E7Q8,U100-007,0.734,113.0,154.0,0.21,30.0,143.0,1.551,2.645,0.71,Medium
E1K248,134,0.0,0.0,26.0,1.0,45.0,45.0,11.1,18.455,0.064,Incorrect
Q72AS4,098,0.067,1.0,15.0,0.977,42.0,43.0,13.38,22.819,0.067,Incorrect
P04807,000,0.857,30.0,35.0,0.062,2.0,32.0,0.666,2.413,0.873,High
Q941M3,012,0.0,0.0,10.0,1.0,14.0,14.0,13.382,51.257,0.013,Incorrect
P04807,049,0.467,28.0,60.0,0.125,4.0,32.0,4.156,3.791,0.472,Acceptable
Q9I5E6,045,0.267,12.0,45.0,0.855,71.0,83.0,9.242,17.765,0.16,Incorrect
A0A3B6UEQ0,124,0.048,1.0,21.0,0.97,32.0,33.0,10.916,24.889,0.057,Incorrect
,,,,,,,,,,,Incorrect
Q7KLV9,U10-009,0.93,40.0,43.0,0.111,5.0,45.0,1.212,7.392,0.702,Medium
P0AG30,018,0.85,34.0,40.0,0.056,2.0,36.0,0.477,1.075,0.914,High
A0A3B6UEQ0,092,0.0,0.0,12.0,1.0,33.0,33.0,10.709,22.294,0.049,Incorrect
Q72AS4,158,0.125,2.0,16.0,0.953,41.0,43.0,9.266,21.645,0.095,Incorrect
A0A3B6UEQ0,076,0.0,0.0,44.0,1.0,33.0,33.0,13.097,20.036,0.055,Incorrect
O68880,033,0.915,86.0,94.0,0.044,4.0,90.0,0.504,1.984,0.921,High
D9N168,U10-003,0.857,6.0,7.0,0.25,2.0,8.0,0.485,1.625,0.909,High
A0A3B6UEQ0,061,0.0,0.0,16.0,1.0,33.0,33.0,12.976,22.806,0.045,Incorrect
P23687,254,0.404,55.0,136.0,0.814,241.0,296.0,9.097,13.471,0.239,Acceptable
Q72AS4,070,0.125,1.0,8.0,0.977,42.0,43.0,9.97,19.366,0.103,Incorrect
H6SG27,048,0.0,0.0,9.0,1.0,17.0,17.0,5.522,16.073,0.096,Incorrect
P0AG30,272,0.914,32.0,35.0,0.111,4.0,36.0,0.505,0.815,0.934,High
P04807,161,0.231,6.0,26.0,0.812,26.0,32.0,10.093,12.312,0.192,Incorrect
Q7KLV9,047,0.82,41.0,50.0,0.089,4.0,45.0,1.155,7.587,0.668,Medium
A0A0A0V031,U10-007,0.71,22.0,31.0,0.185,5.0,27.0,5.77,3.176,0.55,Medium
Q51504,014,0.0,0.0,12.0,1.0,61.0,61.0,16.533,33.862,0.022,Incorrect
P23687,245,0.409,85.0,208.0,0.713,211.0,296.0,6.968,6.0,0.373,Acceptable
P23687,269,0.464,71.0,153.0,0.76,225.0,296.0,7.164,8.865,0.328,Acceptable
Q51504,U10-002,0.967,58.0,60.0,0.049,3.0,61.0,0.735,3.945,0.865,High
P0AG30,270,0.941,32.0,34.0,0.111,4.0,36.0,0.873,0.854,0.893,High
H6SG27,168,0.0,0.0,0.0,1.0,17.0,17.0,4.772,10.679,0.159,Incorrect
E1K248,U100-007,0.872,41.0,47.0,0.089,4.0,45.0,0.935,1.557,0.853,High
F2Z6J5,171,0.138,4.0,29.0,0.92,46.0,50.0,13.458,23.061,0.09,Incorrect
Q9I5E6,081,0.0,0.0,8.0,1.0,83.0,83.0,16.695,33.953,0.022,Incorrect
Q9I5E6,U100-002,0.856,77.0,90.0,0.072,6.0,83.0,0.528,1.111,0.91,High
H6SG27,171,0.0,0.0,0.0,1.0,17.0,17.0,4.657,17.953,0.092,Incorrect
P23687,072,0.418,74.0,177.0,0.75,222.0,296.0,5.7,6.525,0.371,Acceptable
O68880,047,0.933,83.0,89.0,0.078,7.0,90.0,0.483,1.053,0.941,High
Q7KLV9,020,0.867,39.0,45.0,0.133,6.0,45.0,0.947,6.725,0.732,Medium
P59676,U100-002,0.971,33.0,34.0,0.057,2.0,35.0,0.261,0.339,0.98,High
H6SG27,022,0.0,0.0,9.0,1.0,17.0,17.0,5.133,17.809,0.088,Incorrect
P04958,U10-005,0.788,193.0,245.0,0.348,103.0,296.0,5.704,14.876,0.366,Acceptable
P23687,098,0.493,67.0,136.0,0.774,229.0,296.0,9.389,10.691,0.302,Acceptable
P04807,182,0.743,26.0,35.0,0.188,6.0,32.0,2.983,6.63,0.522,Medium
O68880,097,0.698,60.0,86.0,0.333,30.0,90.0,2.099,6.396,0.558,Medium
Q9I5E6,093,0.0,0.0,14.0,1.0,83.0,83.0,15.792,51.012,0.012,Incorrect
P23687,213,0.542,77.0,142.0,0.74,219.0,296.0,6.815,11.788,0.31,Acceptable
P04807,090,0.19,11.0,58.0,0.656,21.0,32.0,8.99,15.989,0.146,Incorrect
O68880,078,0.832,79.0,95.0,0.122,11.0,90.0,0.855,2.211,0.841,High
H6SG27,041,0.0,0.0,6.0,1.0,17.0,17.0,11.578,17.11,0.071,Incorrect
P04807,209,0.595,25.0,42.0,0.219,7.0,32.0,5.238,5.616,0.456,Acceptable
P23687,358,0.426,80.0,188.0,0.73,216.0,296.0,8.793,9.351,0.302,Acceptable
Q7KLV9,U100-002,0.936,44.0,47.0,0.022,1.0,45.0,0.959,5.767,0.777,Medium
A0A0H2WY27,U100-006,0.889,40.0,45.0,0.024,1.0,41.0,0.311,0.869,0.946,High
Q9I5E6,015,0.582,32.0,55.0,0.614,51.0,83.0,4.665,5.305,0.465,Acceptable
