uniprot,pdb,fnat,fnat_correct,fnat_total,fnonnat,fnonnat_nnative,fnonnat_model,irms,lrms,dockq,capri
P62826,6cit,1.0,2.0,2.0,0.6,3.0,5.0,1.077,39.44,0.568,Medium
P13864,3pt6,0.0,0.0,1.0,1.0,17.0,17.0,10.229,34.517,0.026,Incorrect
P07949,5fm3,0.556,5.0,9.0,0.167,1.0,6.0,3.069,7.278,0.442,Acceptable
P11142,6b1n,1.0,40.0,40.0,0.091,4.0,44.0,0.249,0.353,0.991,High
P07949,7ju6,0.688,11.0,16.0,0.711,27.0,38.0,3.019,7.597,0.48,Acceptable
P28482,5nhf,0.817,58.0,71.0,0.463,50.0,108.0,2.517,5.695,0.59,Medium
P55957,2bid,0.609,28.0,46.0,0.462,24.0,52.0,6.108,9.332,0.373,Acceptable
Q02750,3pp1,0.929,78.0,84.0,0.049,4.0,82.0,1.261,0.795,0.835,High
P11142,3fzh,0.95,38.0,40.0,0.095,4.0,42.0,0.387,0.583,0.961,High
Q06124,8s0i,0.947,72.0,76.0,0.089,7.0,79.0,0.636,1.019,0.927,High
Q9UM73,5kz0,0.854,41.0,48.0,0.255,14.0,55.0,2.207,2.785,0.691,Medium
P00519,1opl,0.789,15.0,19.0,0.0,0.0,15.0,0.552,0.808,0.887,High
P07038,1mhs,0.0,0.0,4.0,1.0,21.0,21.0,5.269,20.171,0.075,Incorrect
Q9UM73,5a9u,0.955,42.0,44.0,0.288,17.0,59.0,2.538,3.443,0.691,Medium
P15498,6nf1,0.931,27.0,29.0,0.206,7.0,34.0,0.854,7.246,0.755,Medium
P28482,7e73,0.845,60.0,71.0,0.464,52.0,112.0,2.51,5.721,0.599,Medium
Q9UM73,4clj,0.898,44.0,49.0,0.254,15.0,59.0,2.551,3.371,0.673,Medium
O00571,6o5f,0.765,62.0,81.0,0.279,24.0,86.0,5.853,38.941,0.291,Acceptable
P28482,4zxt,0.831,59.0,71.0,0.449,48.0,107.0,2.533,5.875,0.589,Medium
Q06124,2shp,0.893,67.0,75.0,0.118,9.0,76.0,0.547,1.422,0.916,High
Q9H7B4,5v37,0.945,52.0,55.0,0.119,7.0,59.0,0.244,0.469,0.972,High
Q06124,4h34,0.836,56.0,67.0,0.152,10.0,66.0,0.851,2.166,0.844,High
P31749,4ejn,0.562,9.0,16.0,0.89,73.0,82.0,5.912,21.669,0.252,Acceptable
Q8NB16,2msv,0.737,28.0,38.0,0.282,11.0,39.0,1.731,1.938,0.705,Medium
Q96FI4,6lwg,0.984,120.0,122.0,0.055,7.0,127.0,1.071,1.774,0.868,High
P39687,2je0,0.909,60.0,66.0,0.077,5.0,65.0,0.416,0.645,0.944,High
P28482,4qp1,0.845,60.0,71.0,0.348,32.0,92.0,1.924,4.031,0.68,Medium
Q06124,6mdb,0.934,71.0,76.0,0.066,5.0,76.0,0.32,0.407,0.963,High
P22681,2y1m,0.429,18.0,42.0,0.308,8.0,26.0,10.226,23.284,0.189,Incorrect
P28482,7nr9,0.831,59.0,71.0,0.454,49.0,108.0,2.561,5.81,0.589,Medium
P08631,3vs6,0.906,29.0,32.0,0.194,7.0,36.0,0.642,1.121,0.911,High
P52564,3enm,0.882,75.0,85.0,0.167,15.0,90.0,2.605,3.956,0.651,Medium
P31016,1kjw,1.0,11.0,11.0,0.312,5.0,16.0,0.734,3.345,0.891,High
Q06124,6bmr,0.908,69.0,76.0,0.08,6.0,75.0,0.355,0.57,0.95,High
Q96FI4,5itu,0.91,111.0,122.0,0.112,14.0,125.0,1.86,3.204,0.726,Medium
Q9UM73,4anl,0.88,44.0,50.0,0.241,14.0,58.0,2.531,3.49,0.665,Medium
Q8NQJ3,2kb4,0.0,0.0,0.0,0.0,0.0,0.0,23.034,60.934,0.008,Incorrect
Q06124,5i6v,0.917,66.0,72.0,0.057,4.0,70.0,0.673,0.702,0.914,High
P11142,5aqj,0.95,38.0,40.0,0.073,3.0,41.0,0.373,0.55,0.963,High
A0A0R4I961,6gtz,0.957,66.0,69.0,0.043,3.0,69.0,0.41,2.786,0.93,High
P11142,3fzf,0.95,38.0,40.0,0.095,4.0,42.0,0.45,0.7,0.954,High
Q9UM73,3l9p,0.8,48.0,60.0,0.36,27.0,75.0,3.033,5.241,0.574,Medium
P28482,8ao7,0.831,59.0,71.0,0.443,47.0,106.0,2.567,5.872,0.587,Medium
P46108,2eyz,0.0,0.0,5.0,0.0,0.0,0.0,7.361,27.989,0.041,Incorrect
Q02750,3eqb,0.926,75.0,81.0,0.062,5.0,80.0,1.3,1.042,0.827,High
P11142,5aqk,0.925,37.0,40.0,0.051,2.0,39.0,0.438,0.548,0.947,High
Q13131,4rer,0.0,0.0,2.0,1.0,2.0,2.0,1.496,4.286,0.433,Acceptable
Q8NB16,6zz1,0.711,27.0,38.0,0.1,3.0,30.0,1.32,1.562,0.747,Medium
P28482,5nho,0.831,59.0,71.0,0.464,51.0,110.0,2.445,5.19,0.611,Medium
Q96FI4,5itr,0.926,113.0,122.0,0.096,12.0,125.0,1.887,3.281,0.728,Medium
P62826,5ciq,0.0,0.0,2.0,1.0,60.0,60.0,4.173,60.056,0.045,Incorrect
P27577,1r36,0.9,36.0,40.0,0.438,28.0,64.0,2.513,4.167,0.656,Medium
P11142,3fzl,0.975,39.0,40.0,0.071,3.0,42.0,0.409,0.604,0.967,High
,,,,,,,,,,,Incorrect
Q8NB16,6d74,0.737,28.0,38.0,0.417,20.0,48.0,1.723,3.111,0.683,Medium
P08631,3vs0,0.875,28.0,32.0,0.0,0.0,28.0,0.68,0.962,0.897,High
P28482,8aob,0.831,59.0,71.0,0.459,50.0,109.0,2.507,5.728,0.594,Medium
Q8NI60,7udp,1.0,14.0,14.0,0.125,2.0,16.0,0.926,1.328,0.9,High
Q02750,4u7z,0.952,79.0,83.0,0.06,5.0,84.0,1.324,0.929,0.834,High
Q9C000,7wge,0.0,0.0,0.0,0.0,0.0,0.0,2.997,20.335,0.116,Incorrect
P22681,4a49,0.923,36.0,39.0,0.053,2.0,38.0,0.771,1.214,0.898,High
P54646,6b2e,0.0,0.0,0.0,0.0,0.0,0.0,3.06,4.707,0.32,Acceptable
Q02750,3eqc,0.963,78.0,81.0,0.082,7.0,85.0,0.898,0.969,0.895,High
Q06124,7emn,0.838,57.0,68.0,0.095,6.0,63.0,0.557,0.822,0.903,High
Q9H7B4,7o2b,0.964,53.0,55.0,0.019,1.0,54.0,0.278,0.643,0.975,High
Q8IXJ6,7t1d,0.987,76.0,77.0,0.038,3.0,79.0,1.377,1.103,0.838,High
Q9UM73,5aab,0.932,41.0,44.0,0.305,18.0,59.0,2.613,3.552,0.677,Medium
Q06124,7vxg,0.861,62.0,72.0,0.061,4.0,66.0,0.492,0.665,0.919,High
P62826,6x2s,0.5,1.0,2.0,0.667,2.0,3.0,1.173,40.155,0.388,Acceptable
Q8IXJ6,5g4c,0.935,72.0,77.0,0.077,6.0,78.0,0.816,1.272,0.895,High
Q9UGN5,4tvj,0.916,87.0,95.0,0.065,6.0,93.0,0.587,1.153,0.922,High
Q96FI4,6lwn,0.975,119.0,122.0,0.063,8.0,127.0,0.999,1.604,0.878,High
Q9UM73,4fnw,0.929,39.0,42.0,0.235,12.0,51.0,2.363,2.751,0.707,Medium
Q13557,2vn9,0.971,33.0,34.0,0.108,4.0,37.0,0.224,0.276,0.983,High
P28482,6g97,0.831,59.0,71.0,0.459,50.0,109.0,2.492,5.124,0.61,Medium
P08631,3vs4,0.938,30.0,32.0,0.211,8.0,38.0,0.623,1.313,0.922,High
Q02750,7m0z,0.926,75.0,81.0,0.038,3.0,78.0,1.375,1.084,0.818,High
P31749,6hhf,0.35,7.0,20.0,0.897,61.0,68.0,3.781,20.574,0.211,Incorrect
P11142,4h5n,0.975,39.0,40.0,0.071,3.0,42.0,0.459,0.604,0.961,High
Q9UM73,2xba,0.976,40.0,41.0,0.184,9.0,49.0,1.855,0.541,0.789,Medium
Q06124,7r7i,0.92,69.0,75.0,0.138,11.0,80.0,0.66,1.073,0.914,High
P28482,6g9k,0.859,61.0,71.0,0.445,49.0,110.0,2.538,5.761,0.601,Medium
Q06124,6bmx,0.921,70.0,76.0,0.041,3.0,73.0,0.374,0.576,0.953,High
Q02750,7xlp,0.961,73.0,76.0,0.11,9.0,82.0,0.939,1.331,0.885,High
Q8IXJ6,4x3p,0.935,72.0,77.0,0.077,6.0,78.0,0.689,0.51,0.919,High
P62826,6x2u,0.5,1.0,2.0,0.75,3.0,4.0,1.111,40.095,0.396,Acceptable
Q9H7B4,7qnr,0.927,51.0,55.0,0.038,2.0,53.0,0.262,0.454,0.965,High
P62826,5uwj,1.0,2.0,2.0,0.6,3.0,5.0,1.079,39.462,0.568,Medium
Q9UM73,4anq,0.88,44.0,50.0,0.267,16.0,60.0,2.545,3.401,0.667,Medium
P28482,6g9n,0.845,60.0,71.0,0.455,50.0,110.0,2.686,6.067,0.582,Medium
Q9Y4F1,4h6y,0.875,42.0,48.0,0.208,11.0,53.0,0.664,0.712,0.901,High
P62826,7mnu,0.0,0.0,2.0,1.0,65.0,65.0,4.199,58.718,0.045,Incorrect
P62826,3gj6,0.0,0.0,2.0,1.0,63.0,63.0,4.188,61.344,0.044,Incorrect
,,,,,,,,,,,Incorrect
Q9UM73,3aox,0.939,46.0,49.0,0.207,12.0,58.0,2.465,3.344,0.692,Medium
P28482,4zzm,0.855,59.0,69.0,0.464,51.0,110.0,2.674,6.053,0.586,Medium
Q02750,3e8n,0.928,77.0,83.0,0.037,3.0,80.0,1.205,0.762,0.842,High
P28482,6q7s,0.845,60.0,71.0,0.439,47.0,107.0,2.503,5.753,0.598,Medium
Q9UM73,4z55,0.879,51.0,58.0,0.329,25.0,76.0,2.855,4.845,0.617,Medium
Q96FI4,5itq,0.97,131.0,135.0,0.037,5.0,136.0,1.049,0.668,0.879,High
Q02750,9axa,0.769,50.0,65.0,0.107,6.0,56.0,1.522,2.171,0.734,Medium
Q06124,7r7d,0.882,67.0,76.0,0.056,4.0,71.0,0.602,0.812,0.911,High
P53041,8gft,0.0,0.0,37.0,0.0,0.0,0.0,28.353,84.178,0.004,Incorrect
P31749,6hhj,0.385,10.0,26.0,0.903,93.0,103.0,10.559,20.424,0.184,Incorrect
P28482,5nhp,0.831,59.0,71.0,0.468,52.0,111.0,2.464,5.422,0.604,Medium
P52564,3vn9,0.722,65.0,90.0,0.167,13.0,78.0,1.296,2.232,0.743,Medium
Q6PHZ2,6bab,0.971,33.0,34.0,0.029,1.0,34.0,0.28,0.93,0.975,High
Q9UM73,4dce,0.93,40.0,43.0,0.111,5.0,45.0,1.347,2.046,0.81,High
P28482,5ax3,0.902,55.0,61.0,0.257,19.0,74.0,1.465,2.643,0.775,Medium
Q02750,9ay7,0.925,74.0,80.0,0.051,4.0,78.0,1.399,0.975,0.816,High
P35520,7qgt,0.575,23.0,40.0,0.08,2.0,25.0,5.14,41.303,0.231,Acceptable
Q8IXJ6,5yqo,0.987,76.0,77.0,0.095,8.0,84.0,0.831,0.82,0.914,High
P62826,7mnw,1.0,2.0,2.0,0.333,1.0,3.0,0.597,37.097,0.638,Medium
O00571,6cz5,0.706,60.0,85.0,0.118,8.0,68.0,3.901,8.783,0.439,Acceptable
Q96FI4,6lwd,0.984,120.0,122.0,0.062,8.0,128.0,1.064,1.746,0.869,High
Q9H7B4,6p6k,0.909,50.0,55.0,0.057,3.0,53.0,0.376,0.993,0.946,High
P43405,4fl2,0.953,122.0,128.0,0.054,7.0,129.0,0.383,1.747,0.95,High
Q8IXJ6,1j8f,0.974,75.0,77.0,0.051,4.0,79.0,1.635,1.516,0.8,High
Q9UM73,4tt7,0.922,47.0,51.0,0.309,21.0,68.0,3.289,5.89,0.59,Medium
Q16644,3fxw,0.911,92.0,101.0,0.124,13.0,105.0,0.443,0.486,0.943,High
P62826,7mnz,1.0,2.0,2.0,0.333,1.0,3.0,0.845,32.711,0.608,Medium
P54578,2ayo,0.421,8.0,19.0,0.2,2.0,10.0,3.355,9.06,0.352,Acceptable
P35520,4l0d,0.647,22.0,34.0,0.083,2.0,24.0,5.187,40.962,0.255,Acceptable
P62826,5uwq,0.5,1.0,2.0,0.667,2.0,3.0,1.12,39.437,0.396,Acceptable
Q9UM73,4ccu,0.936,44.0,47.0,0.279,17.0,61.0,2.585,3.488,0.681,Medium
Q96BN8,4ksj,0.898,88.0,98.0,0.083,8.0,96.0,0.601,0.754,0.917,High
P28482,8ao8,0.831,59.0,71.0,0.443,47.0,106.0,2.501,5.658,0.596,Medium
P54646,8bik,1.0,1.0,1.0,0.667,2.0,3.0,2.204,6.707,0.644,Medium
,,,,,,,,,,,Incorrect
Q14674,7nj0,0.678,40.0,59.0,0.167,8.0,48.0,1.153,5.264,0.676,Medium
Q9H7B4,5ex0,0.764,42.0,55.0,0.045,2.0,44.0,0.814,2.272,0.823,High
,,,,,,,,,,,Incorrect
Q02750,9axh,0.937,74.0,79.0,0.086,7.0,81.0,1.357,0.904,0.825,High
P07949,4cki,0.455,5.0,11.0,0.8,20.0,25.0,2.962,7.774,0.401,Acceptable
P28482,4h3p,0.857,54.0,63.0,0.182,12.0,66.0,1.475,2.791,0.756,Medium
P54578,6iin,0.833,25.0,30.0,0.194,6.0,31.0,0.811,1.587,0.858,High
P26358,7xi9,0.0,0.0,0.0,1.0,7.0,7.0,15.028,35.739,0.021,Incorrect
Q14012,4fg8,0.977,42.0,43.0,0.045,2.0,44.0,0.562,1.413,0.942,High
P28482,4qp9,0.754,49.0,65.0,0.183,11.0,60.0,1.368,2.44,0.741,Medium
Q96BN8,3znx,0.792,80.0,101.0,0.059,5.0,85.0,0.527,0.567,0.893,High
Q06124,4ohi,0.838,62.0,74.0,0.151,11.0,73.0,0.692,1.068,0.882,High
P49137,2oza,0.871,88.0,101.0,0.2,22.0,110.0,3.025,2.035,0.671,Medium
Q9UM73,5aac,0.955,42.0,44.0,0.276,16.0,58.0,2.521,3.447,0.692,Medium
Q9UM73,5aa8,0.955,42.0,44.0,0.288,17.0,59.0,2.546,3.518,0.689,Medium
P07038,7nxf,0.25,1.0,4.0,0.971,33.0,34.0,3.27,12.143,0.251,Acceptable
P22681,4a4c,0.789,30.0,38.0,0.062,2.0,32.0,1.172,1.778,0.789,Medium
P11142,5aqo,0.9,36.0,40.0,0.053,2.0,38.0,0.386,0.523,0.945,High
Q6SZW1,7cm5,0.885,46.0,52.0,0.148,8.0,54.0,0.799,2.048,0.87,High
P07038,7ny1,0.25,1.0,4.0,0.971,33.0,34.0,3.27,12.143,0.251,Acceptable
Q6SZW1,7ld0,0.725,37.0,51.0,0.119,5.0,42.0,0.898,1.964,0.804,High
Q9H7B4,3pdn,0.982,54.0,55.0,0.069,4.0,58.0,0.194,0.448,0.988,High
P62826,7mo5,0.0,0.0,2.0,1.0,61.0,61.0,4.195,61.19,0.044,Incorrect
Q13557,5vlo,1.0,34.0,34.0,0.029,1.0,35.0,0.255,0.351,0.99,High
Q02750,3mbl,0.905,76.0,84.0,0.062,5.0,81.0,1.339,1.031,0.816,High
P00579,4zh4,0.0,0.0,0.0,0.0,0.0,0.0,15.033,46.759,0.014,Incorrect
Q8IXJ6,6qcn,0.948,73.0,77.0,0.052,4.0,77.0,0.693,2.088,0.905,High
P62826,6x2o,1.0,2.0,2.0,0.6,3.0,5.0,0.981,38.544,0.582,Medium
P28482,7x4u,0.831,59.0,71.0,0.443,47.0,106.0,2.374,5.193,0.615,Medium
P28482,6d5y,0.831,54.0,65.0,0.182,12.0,66.0,1.195,2.365,0.79,Medium
Q9Y4X5,4kc9,0.929,52.0,56.0,0.161,10.0,62.0,0.709,1.225,0.909,High
Q06124,8cbh,0.895,68.0,76.0,0.068,5.0,73.0,0.542,0.843,0.923,High
P28482,4iza,0.87,60.0,69.0,0.211,16.0,76.0,1.21,2.664,0.795,Medium
P28482,3sa0,0.845,60.0,71.0,0.434,46.0,106.0,2.531,5.876,0.594,Medium
Q07343,4x0f,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.348,0.625,Medium
P62826,2mmc,0.0,0.0,2.0,1.0,78.0,78.0,4.142,68.842,0.044,Incorrect
P28482,5wp1,0.831,59.0,71.0,0.454,49.0,108.0,2.523,5.97,0.587,Medium
P62826,4haz,0.5,1.0,2.0,0.667,2.0,3.0,1.123,40.684,0.394,Acceptable
Q02750,5bx0,0.928,77.0,83.0,0.172,16.0,93.0,1.233,1.427,0.832,High
P62826,5ciw,0.0,0.0,2.0,1.0,63.0,63.0,4.259,59.813,0.043,Incorrect
Q8IXJ6,4l3o,0.948,73.0,77.0,0.052,4.0,77.0,0.539,1.169,0.938,High
Q02750,7m0y,0.914,74.0,81.0,0.051,4.0,78.0,1.368,1.031,0.815,High
P07949,5fm2,0.625,5.0,8.0,0.375,3.0,8.0,3.15,7.38,0.46,Acceptable
Q9UGN5,8hks,0.886,93.0,105.0,0.106,11.0,104.0,0.783,1.299,0.883,High
Q9UIK4,2a27,0.906,29.0,32.0,0.121,4.0,33.0,0.324,0.72,0.952,High
P97360,2lf7,0.85,17.0,20.0,0.261,6.0,23.0,1.589,3.345,0.729,Medium
Q06124,7r75,0.908,69.0,76.0,0.198,17.0,86.0,0.895,1.686,0.869,High
Q9UM73,4fod,0.962,51.0,53.0,0.215,14.0,65.0,2.451,3.287,0.702,Medium
P62826,7mnr,0.0,0.0,2.0,1.0,61.0,61.0,4.198,61.284,0.044,Incorrect
P18654,2qr7,0.878,36.0,41.0,0.234,11.0,47.0,0.83,1.567,0.87,High
P11142,5aqq,0.95,38.0,40.0,0.05,2.0,40.0,0.393,0.554,0.96,High
Q96BN8,3znz,0.821,78.0,95.0,0.204,20.0,98.0,1.053,5.225,0.739,Medium
P07949,6i83,0.571,8.0,14.0,0.704,19.0,27.0,2.743,7.302,0.459,Acceptable
P28482,6g9m,0.831,59.0,71.0,0.468,52.0,111.0,2.557,5.717,0.592,Medium
P07949,7du9,0.625,10.0,16.0,0.706,24.0,34.0,3.071,7.523,0.459,Acceptable
P12931,2src,0.808,42.0,52.0,0.222,12.0,54.0,1.616,2.436,0.732,Medium
Q9P246,2l5y,0.643,18.0,28.0,0.379,11.0,29.0,2.194,3.079,0.615,Medium
P31016,5ypr,1.0,11.0,11.0,0.154,2.0,13.0,0.372,3.111,0.941,High
P62826,4hb3,0.5,1.0,2.0,0.75,3.0,4.0,1.23,40.649,0.38,Acceptable
Q9H7B4,5ccl,0.964,53.0,55.0,0.07,4.0,57.0,0.25,0.977,0.975,High
Q8IXJ6,4rmh,0.922,71.0,77.0,0.078,6.0,77.0,0.952,1.345,0.87,High
Q96BN8,6i9c,0.859,85.0,99.0,0.034,3.0,88.0,0.92,0.733,0.859,High
P43405,4fl3,0.942,113.0,120.0,0.026,3.0,116.0,0.346,0.887,0.96,High
Q02750,4u80,0.963,78.0,81.0,0.06,5.0,83.0,1.252,1.011,0.846,High
P62826,4gmx,0.5,1.0,2.0,0.667,2.0,3.0,1.055,39.202,0.405,Acceptable
P22681,5j3x,0.514,18.0,35.0,0.308,8.0,26.0,13.074,29.531,0.201,Incorrect
P62826,5uwu,1.0,2.0,2.0,0.6,3.0,5.0,1.092,38.713,0.567,Medium
P52564,8pm3,0.919,79.0,86.0,0.081,7.0,86.0,1.555,2.436,0.775,Medium
Q9UM73,2xb7,0.933,42.0,45.0,0.045,2.0,44.0,0.839,0.578,0.897,High
P08631,2c0i,0.938,30.0,32.0,0.118,4.0,34.0,0.597,1.043,0.929,High
Q06124,7jvm,0.934,71.0,76.0,0.066,5.0,76.0,0.303,0.432,0.964,High
P29350,2b3o,0.0,0.0,19.0,1.0,82.0,82.0,17.055,57.536,0.01,Incorrect
Q9BZ95,6cen,0.7,35.0,50.0,0.079,3.0,38.0,1.256,3.154,0.722,Medium
P54646,5ezv,0.0,0.0,1.0,0.0,0.0,0.0,2.845,8.764,0.234,Acceptable
P27577,6dat,0.949,37.0,39.0,0.051,2.0,39.0,5.13,13.017,0.442,Acceptable
Q02750,3zm4,0.963,77.0,80.0,0.115,10.0,87.0,0.895,1.244,0.893,High
Q8IXJ6,5mat,0.974,75.0,77.0,0.062,5.0,80.0,0.767,1.092,0.917,High
Q3UP24,6b5b,0.0,0.0,31.0,1.0,28.0,28.0,14.852,36.336,0.021,Incorrect
Q01974,4gt4,0.885,46.0,52.0,0.042,2.0,48.0,0.644,1.479,0.9,High
P12931,4k11,0.86,37.0,43.0,0.119,5.0,42.0,0.651,1.166,0.895,High
,,,,,,,,,,,Incorrect
P35520,4pcu,0.833,25.0,30.0,0.419,18.0,43.0,2.157,12.58,0.491,Medium
Q02750,7m0x,0.926,75.0,81.0,0.107,9.0,84.0,1.311,1.162,0.825,High
Q96FI4,6lwf,0.983,117.0,119.0,0.107,14.0,131.0,1.265,2.153,0.836,High
Q06124,8s0o,0.895,68.0,76.0,0.081,6.0,74.0,0.603,0.987,0.914,High
Q9UGN5,3kcz,0.937,89.0,95.0,0.063,6.0,95.0,0.567,0.866,0.934,High
Q96NX5,2jam,0.933,84.0,90.0,0.067,6.0,90.0,3.398,2.351,0.675,Medium
Q96BN8,3znv,0.853,87.0,102.0,0.054,5.0,92.0,0.946,0.948,0.852,High
P28482,4qp4,0.769,50.0,65.0,0.153,9.0,59.0,1.255,2.276,0.764,Medium
Q06124,6atd,0.904,66.0,73.0,0.029,2.0,68.0,0.514,0.484,0.932,High
P28482,6g9a,0.831,59.0,71.0,0.459,50.0,109.0,2.523,5.368,0.602,Medium
Q9UM73,4fnz,0.929,39.0,42.0,0.114,5.0,44.0,1.399,1.844,0.806,High
P26358,3pta,0.333,10.0,30.0,0.853,58.0,68.0,8.366,28.309,0.149,Incorrect
P11142,4h5t,0.975,39.0,40.0,0.071,3.0,42.0,0.455,0.882,0.96,High
Q9UGN5,7r59,0.947,90.0,95.0,0.062,6.0,96.0,0.618,1.417,0.925,High
P28482,4fv0,0.831,59.0,71.0,0.433,45.0,104.0,2.482,5.815,0.593,Medium
P53041,8gae,0.0,0.0,37.0,0.0,0.0,0.0,30.287,88.065,0.004,Incorrect
Q8TDX7,8sxn,0.6,24.0,40.0,0.529,27.0,51.0,1.825,3.536,0.619,Medium
Q8IXJ6,5dy4,0.961,74.0,77.0,0.051,4.0,78.0,0.728,1.409,0.915,High
Q9UGN5,4zzx,0.952,100.0,105.0,0.057,6.0,106.0,0.551,1.21,0.938,High
Q06124,4nwf,0.961,73.0,76.0,0.076,6.0,79.0,0.366,0.616,0.966,High
P62826,7mnv,0.0,0.0,2.0,1.0,66.0,66.0,4.194,62.385,0.044,Incorrect
P27577,1md0,0.902,37.0,41.0,0.026,1.0,38.0,5.153,13.035,0.426,Acceptable
Q04929,2l3s,0.0,0.0,3.0,1.0,24.0,24.0,9.253,36.207,0.026,Incorrect
Q02750,5yt3,0.986,71.0,72.0,0.078,6.0,77.0,5.344,1.674,0.674,Medium
Q9UM73,3lct,0.767,46.0,60.0,0.361,26.0,72.0,3.038,5.196,0.564,Medium
Q06124,8wfy,0.892,66.0,74.0,0.043,3.0,69.0,0.377,0.693,0.942,High
