uniprot	pdb	region_1	region_2	complex_rmsd	percent_region_1	percent_region_2	2_aligned	2_comp	state	conformation	organism	date	notes	chain	af_filename	nstds	non-polymers	has_partner	num_partners	has_nstds	has_nplymrs
P28482	4fv0	173-196	25-172,197-313	2.225	100.0	98.8679245283019	1.161	6.678	Autoinhibited	Closed	Homo sapiens	['2012-06-28']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['1,2-ETHANEDIOL', 'N-cyclohexyl-4-[3-(4-fluorophenyl)-1H-pyrazol-4-yl]pyridin-2-amine', 'GLYCEROL', 'WATER']	False	0	True	True
P28482	4fv1	173-196	25-172,197-313	2.132	100.0	99.622641509434	1.207	6.53	Autoinhibited	Closed	Homo sapiens	['2012-06-28']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['1,2-ETHANEDIOL', 'N-[(1S)-2-hydroxy-1-phenylethyl]-4-{4-[3-(trifluoromethyl)phenyl]-1H-pyrazol-5-yl}-1H-pyrrole-2-carboxamide', 'GLYCEROL', 'WATER', 'SULFATE ION']	False	0	True	True
P28482	4fv2	173-196	25-172,197-313	2.205	100.0	99.622641509434	1.188	6.595	Autoinhibited	Closed	Homo sapiens	['2012-06-29']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['1,2-ETHANEDIOL', '4-[4-(3-chlorophenyl)-1H-pyrazol-5-yl]-N-(2,3-dihydro-1-benzofuran-5-ylmethyl)-1H-pyrrole-2-carboxamide', 'GLYCEROL', 'WATER', 'SULFATE ION']	False	0	True	True
P28482	4fv3	173-196	25-172,197-313	2.19	100.0	99.622641509434	1.212	6.486	Autoinhibited	Closed	Homo sapiens	['2012-06-29']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['1,2-ETHANEDIOL', 'ethyl N-{2-chloro-4-[5-(5-{[(1S)-1-(3-chloro-4-fluorophenyl)-2-hydroxyethyl]carbamoyl}-1H-pyrrol-3-yl)-1H-pyrazol-4-yl]benzyl}glycinate', 'WATER', 'SULFATE ION']	False	0	True	True
P28482	4fv7	173-196	25-172,197-313	2.176	100.0	99.2452830188679	1.278	6.332	Autoinhibited	Closed	Homo sapiens	['2012-06-29']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['4-(3-chlorophenyl)-5-{2-[(3-hydroxyphenyl)amino]pyrimidin-4-yl}-2-{[2-(piperidin-1-yl)ethyl]amino}thiophene-3-carbonitrile', '1,2-ETHANEDIOL', 'GLYCEROL', 'WATER', 'SULFATE ION']	False	0	True	True
P28482	4g6n	173-196	25-172,197-313	2.175	100.0	99.622641509434	1.131	6.631	Autoinhibited	Closed	Homo sapiens	['2012-07-19']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['3-(4-chlorophenyl)-4,5,6,7-tetrahydro-1H-indazole', 'WATER', 'SULFATE ION']	False	0	True	True
P28482	4g6o	173-196	25-172,197-313	2.112	100.0	98.4905660377359	1.125	6.529	Autoinhibited	Closed	Homo sapiens	['2012-07-19']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['4-{4-[4-(aminomethyl)-3-(trifluoromethyl)phenyl]-1H-pyrazol-5-yl}-N-(2,3-dihydro-1-benzofuran-5-ylmethyl)-1H-pyrrole-2-carboxamide', '1,2-ETHANEDIOL', 'WATER', 'SULFATE ION']	False	0	True	True
P28482	4h3p	173-196	25-172,197-313	1.676	70.8333333333333	99.622641509434	1.317	3.311	Autoinhibited	Closed	Homo sapiens	['2012-09-14']		A	F-P28482-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER', 'WATER']	True	1	False	True
P28482	4h3q	173-196	25-172,197-313	1.929	100.0	98.8679245283019	1.171	4.996	Autoinhibited	Closed	Homo sapiens	['2012-09-14']		A	F-P28482-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER', 'WATER']	True	1	False	True
P28482	4iz5	173-196	25-172,197-313	1.962	95.8333333333333	100.0	1.173	4.595	Autoinhibited	Closed	Homo sapiens	['2013-01-29']		A	F-P28482-F1-model_v3.cif	"[""ADENOSINE-5'-DIPHOSPHATE""]"	['SULFATE ION']	True	1	True	True
P28482	4iza	173-196	25-172,197-313	1.708	91.6666666666667	100.0	1.085	3.837	Autoinhibited	Closed	Homo sapiens	['2013-01-29']		A	F-P28482-F1-model_v3.cif	['O-PHOSPHOTYROSINE', 'PHOSPHOTHREONINE']	['WATER']	True	1	True	True
P28482	4n0s	173-196	25-172,197-313	2.866	100.0	98.4905660377359	1.24	6.715	Autoinhibited	Closed	Homo sapiens	['2013-10-02']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['CAFFEIC ACID', 'DIMETHYL SULFOXIDE', 'WATER', 'DI(HYDROXYETHYL)ETHER', 'SULFATE ION']	False	0	True	True
P28482	4nif	173-196	25-172,197-313	1.841	87.5	100.0	1.26	4.297	Autoinhibited	Closed	Homo sapiens	['2013-11-06']		B	F-P28482-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER', 'WATER', 'SODIUM ION', 'SULFATE ION']	True	1	False	True
P28482	4qp1	173-196	25-172,197-313	2.096	100.0	99.622641509434	1.462	5.293	Autoinhibited	Closed	Homo sapiens	['2014-06-22']		A	F-P28482-F1-model_v3.cif	['N1-PHOSPHONOHISTIDINE']	['N-BENZYL-9H-PURIN-6-AMINE', 'WATER', 'IMIDAZOLE']	False	0	True	True
P28482	4qp2	173-196	25-172,197-313	1.729	75.0	98.4905660377359	1.321	3.241	Active	Closed	Homo sapiens	['2014-06-22']		A	F-P28482-F1-model_v3.cif	['N1-PHOSPHONOHISTIDINE']	['5-chloro-1,3-benzoxazol-2-amine', 'WATER', 'IMIDAZOLE']	False	0	True	True
P28482	4qp3	173-196	25-172,197-313	1.817	75.0	98.4905660377359	1.348	3.391	Active	Closed	Homo sapiens	['2014-06-22']		A	F-P28482-F1-model_v3.cif	['N1-PHOSPHONOHISTIDINE']	['(2S)-3-phenyl-2-(9H-purin-6-ylamino)propan-1-ol', 'WATER']	False	0	True	True
P28482	4qp4	173-196	25-172,197-313	1.956	66.6666666666667	100.0	1.49	3.991	Active	Closed	Homo sapiens	['2014-06-22']		A	F-P28482-F1-model_v3.cif	[]	['N-cyclohexyl-9H-purin-6-amine', 'WATER']	False	0	False	True
P28482	4qp6	173-196	25-172,197-313	1.856	75.0	98.4905660377359	1.387	3.309	Active	Closed	Homo sapiens	['2014-06-22']		A	F-P28482-F1-model_v3.cif	['N1-PHOSPHONOHISTIDINE']	['5H-pyrrolo[2,3-b]pyrazine', 'IMIDAZOLE']	False	0	True	True
P28482	4qp7	173-196	25-172,197-313	1.928	66.6666666666667	100.0	1.426	3.994	Active	Closed	Homo sapiens	['2014-06-22']		A	F-P28482-F1-model_v3.cif	[]	['2-(1H-pyrazol-4-yl)-5H-pyrrolo[2,3-b]pyrazine', 'WATER']	False	0	False	True
P28482	4qp9	173-196	25-172,197-313	1.957	66.6666666666667	100.0	1.488	4.283	Active	Closed	Homo sapiens	['2014-06-22']		A	F-P28482-F1-model_v3.cif	[]	['7-(1-propyl-1H-pyrazol-4-yl)-2-(pyridin-4-yl)-5H-pyrrolo[2,3-b]pyrazine', 'WATER']	False	0	False	True
P28482	4qpa	173-196	25-172,197-313	2.549	87.5	96.6037735849057	2.252	4.104	Active	Closed	Homo sapiens	['2014-06-22']		A	F-P28482-F1-model_v3.cif	['N1-PHOSPHONOHISTIDINE']	['7-(1-benzyl-1H-pyrazol-4-yl)-2-(pyridin-4-yl)-5H-pyrrolo[2,3-b]pyrazine']	False	0	True	True
P28482	4qte	173-196	25-172,197-313	2.196	100.0	100.0	1.328	5.971	Active	Closed	Homo sapiens	['2014-07-07']		A	F-P28482-F1-model_v3.cif	[]	['4-{2-[(2-chloro-4-fluorophenyl)amino]-5-methylpyrimidin-4-yl}-N-[(1S)-1-(3-chlorophenyl)-2-hydroxyethyl]-1H-pyrrole-2-carboxamide', 'CHLORIDE ION', '1,2-ETHANEDIOL', 'WATER', 'SULFATE ION']	False	0	False	True
P28482	4xj0	173-196	25-172,197-313	2.133	100.0	99.2452830188679	1.492	5.359	Active	Closed	Homo sapiens	['2015-01-08']		A	F-P28482-F1-model_v3.cif	['N1-PHOSPHONOHISTIDINE']	['1-[(1S)-1-(4-chloro-3-fluorophenyl)-2-hydroxyethyl]-4-[2-(tetrahydro-2H-pyran-4-ylamino)pyrimidin-4-yl]pyridin-2(1H)-one', 'WATER']	False	0	True	True
P28482	4zxt	173-196	25-172,197-313	2.837	100.0	98.8679245283019	1.282	6.749	Autoinhibited	Closed	Homo sapiens	['2015-05-20']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['CATECHOL', 'WATER', 'AMMONIUM ION', 'SULFATE ION']	False	0	True	True
P28482	4zzm	173-196	25-172,197-313	2.25	100.0	99.2452830188679	1.17	6.989	Autoinhibited	Closed	HOMO SAPIENS	['2015-04-10']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['7-ethylsulfonyl-N-(oxan-4-yl)-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-2-amine', 'WATER', 'SULFATE ION']	False	0	True	True
P28482	4zzn	173-196	25-172,197-313	2.157	100.0	99.2452830188679	1.133	6.784	Autoinhibited	Closed	HOMO SAPIENS	['2015-04-10']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['2-[[5-chloranyl-2-(oxan-4-ylamino)pyridin-4-yl]amino]-N-methyl-benzamide', 'WATER', 'SULFATE ION']	False	0	True	True
P28482	4zzo	173-196	25-172,197-313	2.162	100.0	99.2452830188679	1.122	6.989	Autoinhibited	Closed	HOMO SAPIENS	['2015-04-10']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['N-[2-[[5-chloranyl-2-(oxan-4-ylamino)pyrimidin-4-yl]amino]phenyl]propanamide', 'WATER', 'SULFATE ION']	False	0	True	True
P28482	5ax3	173-196	25-172,197-313	2.045	62.5	95.8490566037736	1.644	3.952	Autoinhibited	Closed	Homo sapiens	['2015-07-14']		A	F-P28482-F1-model_v3.cif	[]	['(2R,3R,4S,5R)-2-(4-AMINO-5-IODO-7H-PYRROLO[2,3-D]PYRIMIDIN-7-YL)-5-(HYDROXYMETHYL)TETRAHYDROFURAN-3,4-DIOL']	True	1	False	True
P28482	5lcj	173-196	25-172,197-313	2.226	100.0	99.622641509434	1.132	6.642	Autoinhibited	Closed	Homo sapiens	['2016-06-22']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['[(1~{R},4~{Z})-cyclooct-4-en-1-yl] ~{N}-[4-[4-[[5-chloranyl-4-[[2-(propanoylamino)phenyl]amino]pyrimidin-2-yl]amino]pyridin-2-yl]but-3-ynyl]carbamate', 'WATER', 'SULFATE ION']	False	0	True	True
P28482	5lck	173-196	25-172,197-313	2.295	100.0	99.2452830188679	1.165	6.678	Autoinhibited	Closed	Homo sapiens	['2016-06-22']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['~{N}-[2-[[2-[(5-methoxypyridin-3-yl)amino]-5-(trifluoromethyl)pyrimidin-4-yl]amino]phenyl]propanamide', 'WATER', 'SULFATE ION']	False	0	True	True
P28482	5ngu	173-196	25-172,197-313	2.161	100.0	99.2452830188679	1.23	6.54	Autoinhibited	Closed	Homo sapiens	['2017-03-20']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['2-[2-[[4-(4-methylpiperazin-1-yl)phenyl]amino]pyrimidin-4-yl]-1,5,6,7-tetrahydropyrrolo[3,2-c]pyridin-4-one', 'WATER', 'SULFATE ION']	False	0	True	True
P28482	5nhf	173-196	25-172,197-313	2.169	100.0	99.2452830188679	1.111	6.623	Autoinhibited	Closed	Homo sapiens	['2017-03-21']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['2-[2-(oxan-4-ylamino)pyrimidin-4-yl]-5-(phenylmethyl)-6,7-dihydro-1~{H}-pyrrolo[3,2-c]pyridin-4-one', 'WATER', 'SULFATE ION']	False	0	True	True
P28482	5nhh	173-196	25-172,197-313	2.155	100.0	99.622641509434	1.228	6.329	Autoinhibited	Closed	Homo sapiens	['2017-03-21']		A	F-P28482-F1-model_v3.cif	[]	['5-(2-methoxyethyl)-2-[2-(oxan-4-ylamino)pyrimidin-4-yl]-6,7-dihydro-1~{H}-pyrrolo[3,2-c]pyridin-4-one', 'WATER', 'SULFATE ION']	False	0	False	True
P28482	5nhj	173-196	25-172,197-313	2.193	100.0	99.622641509434	1.252	6.319	Autoinhibited	Closed	Homo sapiens	['2017-03-21']		A	F-P28482-F1-model_v3.cif	[]	['5-(2-methoxyethyl)-2-[2-[(2-methylpyrazol-3-yl)amino]pyrimidin-4-yl]-6,7-dihydro-1~{H}-pyrrolo[3,2-c]pyridin-4-one', 'WATER', 'SULFATE ION']	False	0	False	True
P28482	5nhl	173-196	25-172,197-313	2.087	100.0	99.622641509434	1.176	6.236	Autoinhibited	Closed	Homo sapiens	['2017-03-21']		A	F-P28482-F1-model_v3.cif	[]	['(6~{R})-5-(2-methoxyethyl)-6-methyl-2-[5-methyl-2-[(2-methylpyrazol-3-yl)amino]pyrimidin-4-yl]-6,7-dihydro-1~{H}-pyrrolo[3,2-c]pyridin-4-one', 'WATER', 'SULFATE ION']	False	0	False	True
P28482	5nho	173-196	25-172,197-313	2.144	100.0	99.622641509434	1.249	6.284	Autoinhibited	Closed	Homo sapiens	['2017-03-22']		A	F-P28482-F1-model_v3.cif	[]	['(6~{S})-5-(2-methoxyethyl)-6-methyl-2-[5-methyl-2-[(2-methylpyrazol-3-yl)amino]pyrimidin-4-yl]-6,7-dihydro-1~{H}-pyrrolo[3,2-c]pyridin-4-one', 'WATER', 'SULFATE ION']	False	0	False	True
P28482	5nhp	173-196	25-172,197-313	2.06	100.0	99.622641509434	1.148	6.41	Autoinhibited	Closed	Homo sapiens	['2017-03-22']		A	F-P28482-F1-model_v3.cif	[]	['5-(2-methoxyethyl)-1-methyl-2-[2-[(2-methylpyrazol-3-yl)amino]pyrimidin-4-yl]-6,7-dihydropyrrolo[3,2-c]pyridin-4-one', 'WATER', 'SULFATE ION']	False	0	False	True
P28482	5nhv	173-196	25-172,197-313	2.159	100.0	99.622641509434	1.195	6.523	Autoinhibited	Closed	Homo sapiens	['2017-03-22']		A	F-P28482-F1-model_v3.cif	[]	['7-[2-(oxan-4-ylamino)pyrimidin-4-yl]-3,4-dihydro-2~{H}-pyrrolo[1,2-a]pyrazin-1-one', 'WATER', 'SULFATE ION']	False	0	False	True
P28482	5v60	173-196	25-172,197-313	2.003	91.6666666666667	100.0	1.148	6.093	Autoinhibited	Closed	Homo sapiens	['2017-03-15']		A	F-P28482-F1-model_v3.cif	['O-PHOSPHOTYROSINE', 'PHOSPHOTHREONINE']	['PHOSPHOMETHYLPHOSPHONIC ACID ADENYLATE ESTER', 'GLYCEROL', 'WATER', 'MAGNESIUM ION']	False	0	True	True
P28482	5v61	173-196	25-172,197-313	2.604	91.6666666666667	100.0	1.208	6.02	Autoinhibited	Closed	Homo sapiens	['2017-03-15']		A	F-P28482-F1-model_v3.cif	['O-PHOSPHOTYROSINE', 'PHOSPHOTHREONINE']	['2-oxo-6,9,12,15-tetraoxa-3-azaoctadecan-18-oic acid', '5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE', 'GLYCEROL', 'WATER']	True	1	True	True
P28482	5v62	173-196	25-172,197-313	2.103	91.6666666666667	100.0	1.28	6.052	Autoinhibited	Closed	Homo sapiens	['2017-03-15']		A	F-P28482-F1-model_v3.cif	['(S)-2-AMINO-6-AZIDOHEXANOIC ACID', 'O-PHOSPHOTYROSINE', 'PHOSPHOTHREONINE']	['N-(hex-5-yn-1-yl)hexanamide', '5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE', 'GLYCEROL', 'WATER']	True	1	True	True
P28482	5wp1	173-196	25-172,197-313	2.434	100.0	98.8679245283019	1.258	6.888	Autoinhibited	Closed	Homo sapiens	['2017-08-03']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['5,7-dihydroxy-4H-1-benzopyran-4-one', 'BENZOIC ACID', 'WATER', 'SULFATE ION']	False	0	True	True
P28482	6d5y	173-196	25-172,197-313	1.923	66.6666666666667	99.622641509434	1.409	4.035	Autoinhibited	Closed	Homo sapiens	['2018-04-19']		A	F-P28482-F1-model_v3.cif	[]	[]	False	0	False	False
